tip_label;tip label;WJetzID;Feng;IOCOrder;PrumOrder;in_final_set;in_bioclim;region;old_set_check;English;family;order;taxogroup;PassNonPass;devo_mode;devo_mode_full;egg_mass;weight;rel_brain;brain;time_fed;clutch_size;caretakers;longevity;longevity_c;social_bonds;fam_sys;fam_sys_s;food_energy;food_h_level;fibres;foraging_3;move_max;insularity;colonial;empty_col1;longevity_c;clutch_size_c;weight_c;time_fed_c;gs_small;gs_large;grouping
Melierax_canorus;Melierax canorus;4708;Melierax_canorus;Accipitriformes;Accipitriformes;YES;YES;Southern Africa;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;52.78190328;798.25;;7.12768;131;2;2.2;24.58;;c-long;;;195.743;2.7;1.12;aground_gen;sedentary;continental;acolonial;;;;;;;;small_groups
Accipiter_tachiro;Accipiter tachiro;4713;Accipiter_tachiro;Accipitriformes;Accipitriformes;YES;YES;Southern Africa;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;34;282.5;;4.3;124;2;2;8;;c-long;;;199.31;2.9;0.62;aground_gen;sedentary;continental;acolonial;;;;;;;;asocial
Accipiter_brevipes;Accipiter brevipes;4722;Accipiter_brevipes;Accipitriformes;Accipitriformes;YES;YES;Western Palearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;22;184.4112;;3.3;65;4;2;NA;;c-long;;;190.64;2.6;1.28;aground_gen;migratory;continental;acolonial;;;;;;;;pair
Accipiter_novaehollandiae;Accipiter novaehollandiae;4726;Accipiter_novaehollandiae;Accipitriformes;Accipitriformes;YES;YES;Australia;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;40.5;568.25;;4.91064;88;3;2;NA;;c-long;;;193.53;2.7;1.06;aground_gen;sedentary;continental;acolonial;;;;;;;;asocial
Accipiter_fasciatus;Accipiter fasciatus;4728;Accipiter_fasciatus;Accipitriformes;Accipitriformes;YES;YES;Australia;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;32.5;461.25;;4.662;72.5;3;2;NA;;c-long;;;192.853;2.6;1.34;aground_gen;sedentary;continental;acolonial;;;;;;;;asocial
Accipiter_haplochrous;Accipiter haplochrous;4733;Accipiter_haplochrous;Accipitriformes;Accipitriformes;NO;NO;Australia;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;25.5;219.5;;4.05076;NA;3;2;NA;;c-long;;;193.53;2.7;1.06;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
Accipiter_cirrocephalus;Accipiter cirrocephalus;4748;Accipiter_cirrocephalus;Accipitriformes;Accipitriformes;YES;YES;Australia;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;21;180;;2.47604;88;3;2;NA;;c-long;;;199.31;2.9;0.62;aground_gen;migratory;continental;acolonial;;;;;;;;asocial
Accipiter_nisus;Accipiter nisus;4753;Accipiter_nisus;Accipitriformes;Accipitriformes;YES;YES;Western Palearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;22.5;208.25;;2.956912281;52.5;5;2;20.25;;c-long;;;202.2;3;0.4;aground_gen;migratory;continental;acolonial;;;;;;;;asocial
Accipiter_striatus;Accipiter striatus;4755;Accipiter_striatus;Accipitriformes;Accipitriformes;YES;YES;Widespread;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;19.3;139.75;;2.31028;51.5;4;2;19.9;;c-long;;;202.2;3;0.4;aground_gen;migratory;continental;acolonial;;;;;;;;asocial
Accipiter_cooperii;Accipiter cooperii;4759;Accipiter_cooperii;Accipitriformes;Accipitriformes;YES;YES;Nearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;40;386.5;;4.8692;72;4;2;20.33;;c-long;;;202.2;3;0.4;aground_gen;migratory;continental;acolonial;;;;;;;;asocial
